req/minp,wamp_% Processor Time,wamp_% User Time,wamp_% Privileged Time,wamp_Virtual Bytes Peak,wamp_Virtual Bytes,wamp_Page Faults/sec,wamp_Working Set Peak,wamp_Working Set,wamp_Page File Bytes Peak,wamp_Page File Bytes,wamp_Private Bytes,wamp_Thread Count,wamp_Priority Base,wamp_ID Process,wamp_Creating Process ID,wamp_Pool Paged Bytes,wamp_Pool Nonpaged Bytes,wamp_Handle Count,wamp_IO Read Operations/sec,wamp_IO Write Operations/sec,wamp_IO Data Operations/sec,wamp_IO Other Operations/sec,wamp_IO Read Bytes/sec,wamp_IO Write Bytes/sec,wamp_IO Data Bytes/sec,wamp_IO Other Bytes/sec,wamp_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
1377,6.864274571,4.914196568,1.950078003,280731648,280272896,78.00437266,94616917.33,94595754.67,139082410.7,139078314.7,139078314.7,69,8,3592,5276,248368,141202.6667,542,0,23.91800728,23.91800728,1407.028842,0,4628.592891,4628.592891,36958.60408,84535978.67,2.236089444,1.716068643,0.520020801,836837376,799088640,0.066670417,648007680,370216960,687349760,677687296,677687296,78,8,4376,620,216272,68416,5147,2300.647476,6.750385064,2307.397861,315.4179332,1152783.825,63984.9774,1216768.803,9658.0158,361705472
1071,4.966198648,3.510140405,1.456058242,280731648,280272896,59.37003862,94627840,94608042.67,139097429.3,139090602.7,139090602.7,69,8,3592,5276,247024,138240,542,0,18.10102797,18.10102797,1076.27777,0,3553.335088,3553.335088,28386.02806,84548266.67,2.132085283,1.482059282,0.650026001,836837376,799088640,0.06667034,648007680,370216960,687349760,677687296,677687296,78,8,4376,620,216272,68416,5147.5,1783.785035,9.383868569,1793.168904,278.6158968,906049.7716,150272.0122,1056321.784,7529.762675,361705472
1055,6.73426937,4.914196568,1.820072803,280731648,280141824,55.70316692,94650368,94621696,139120640,139100160,139100160,68.5,8,3592,5276,239664,113082,518.8333333,0,17.58433217,17.58433217,1024.274844,0,3437.261681,3437.261681,26955.79737,84561920,1.690067603,1.170046802,0.520020801,836837376,799088640,0.066670405,648007680,370216960,687349760,677687296,677687296,78,8,4376,620,216272,68416,5148,1589.824435,24.16802383,1613.992459,225.3628775,781512.4592,641732.1965,1423244.656,6726.118651,361705472
1172,7.124284971,4.810192408,2.314092564,280731648,280010752,64.08701403,94650368,94613504,139120640,139087872,139087872,68,8,3592,5276,242608,124314,526,0,19.63446102,19.63446102,1158.133166,0,3836.703583,3836.703583,30465.56585,84553728,1.768070723,1.326053042,0.442017681,836837376,799088640,0.08333807,648007680,370217642.7,687349760,677687296,677687296,78,8,4376,620,216272,68416,5148.833333,1843.905487,7.600434786,1851.505922,281.4994289,908620.1303,102010.7886,1010630.919,7785.245382,361706154.7
1057,5.016783226,3.795179845,1.221603381,280731648,280010752,54.55510073,94650368,94613504,139120640,139087872,139087872,68,8,3592,5276,239312,112981.3333,520.3333333,0,17.01289829,17.01289829,982.3898191,0,3251.463709,3251.463709,25738.24953,84553728,1.845425842,1.273726961,0.57169888,836837376,799088640,0.08333782,648007680,370223104,687349760,677687296,677687296,78,8,4376,620,216272,68416,5149,1444.763603,25.91609229,1470.679695,206.1039682,727544.6706,711234.7359,1438779.406,6069.749063,361711616
1284,5.356214249,3.718148726,1.638065523,280731648,280010752,71.62068716,94650368,94613504,139120640,139087872,139087872,68,8,3592,5276,242960,123996.6667,526.8333333,0,21.98456718,21.98456718,1301.223023,0,4293.841037,4293.841037,34216.93686,84553728,1.898075923,1.378055122,0.520020801,836837376,799088640,0.066670686,648007680,370225152,687349760,677687296,677687296,78,8,4376,620,216272,68586.66667,5149.333333,2324.516922,7.633770897,2332.150693,354.0036508,1157733.277,81016.15352,1238749.43,9800.096486,361713664
942,3.146125845,2.262090484,0.884035361,280731648,280010752,52.93631419,94650368,94627157.33,139120640,139101525.3,139101525.3,68,8,3592,5276,240304,117072.6667,522.3333333,0,16.65093541,16.65093541,978.4050486,0,3329.920329,3329.920329,25811.85213,84567381.33,2.340093604,1.586063442,0.754030161,836837376,798913877.3,0.066670591,648007680,370221056,687349760,677683200,677683200,77.83333333,8,4376,620,216272,68376,5149.666667,1786.151683,9.467206065,1795.618889,286.4329889,864900.2183,154883.873,1019784.091,7573.897887,361709568
1312,3.821423885,2.625619043,1.195804841,280731648,280010752,69.67338018,94653781.33,94633301.33,139120640,139107669.3,139107669.3,68,8,3592,5276,243376,125260.6667,528.6666667,0,21.19692717,21.19692717,1257.895197,0,4055.827112,4055.827112,33004.81396,84573525.33,2.080083203,1.560062402,0.520020801,836837376,799088640,0.06667045,648007680,370221056,687349760,677687296,677687296,78,8,4376,620,216272,68416,5149.666667,1995.596834,23.55135507,2019.148189,287.4330241,993084.5394,611609.8442,1604694.384,8387.810436,361709568
1063,2.678107124,1.846073843,0.832033281,280731648,280010752,57.8032661,94655146.67,94633984,139120640,139108352,139108352,68,8,3592,5276,243376,125008,528,0,17.66766499,17.66766499,1044.609001,0,3464.09569,3464.09569,27485.45226,84574208,1.872074883,1.508060322,0.36401456,836837376,799088640,0,648007680,370221056,687349760,677687296,677687296,78,8,4376,620,216272,68416,5150.5,1714.930924,14.06747583,1728.9984,254.6644829,854997.2672,314981.7317,1169978.999,7234.011668,361709568
1191,3.146125845,2.314092564,0.832033281,280731648,280010752,62.95357766,94660608,94638080,139121322.7,139112448,139112448,68,8,3592,5276,242928,123642,527.8333333,0,19.55111453,19.55111453,1173.000041,0,3758.697633,3758.697633,30953.26005,84578304,2.210088404,1.586063443,0.624024961,836837376,799088640,0.066670553,648007680,370221056,687349760,677687296,677687296,78,8,4376,620,216272,68416,5151.166667,1882.65647,24.05135657,1906.707826,277.0823157,960849.5176,634412.2656,1595261.783,7928.931719,361709568
