req/minv,java_% Processor Time,java_% User Time,java_% Privileged Time,java_Virtual Bytes Peak,java_Virtual Bytes,java_Page Faults/sec,java_Working Set Peak,java_Working Set,java_Page File Bytes Peak,java_Page File Bytes,java_Private Bytes,java_Thread Count,java_Priority Base,java_Elapsed Time,java_ID Process,java_Creating Process ID,java_Pool Paged Bytes,java_Pool Nonpaged Bytes,java_Handle Count,java_IO Read Operations/sec,java_IO Write Operations/sec,java_IO Data Operations/sec,java_IO Other Operations/sec,java_IO Read Bytes/sec,java_IO Write Bytes/sec,java_IO Data Bytes/sec,java_IO Other Bytes/sec,java_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
1155,14.73766022,10.64965656,4.088003659,1941856256,1909350400,76.49740647,724926464,434214912,860602368,477763584,477763584,109,8,27156.55913,1640,3436,176666.6667,130432,1331.666667,173.9961331,0.400331831,174.396465,501.1830535,24649.4522,3011.030999,27660.48319,78107.78983,424454144,36.6534826,27.85350562,8.79997698,494239744,476217344,0.06667365,307175424,306288640,316801024,315875328,315875328,83,8,122652.7981,1360,480,228384,69048,2842.333333,235.8220265,126.7668706,362.5888972,349.2729079,6339985.858,5630001.831,11969987.69,5950.445973,295639040
1243,14.58284893,10.52080768,4.062041244,1941856256,1909350400,261.3906279,724926464,456013824,860602368,499910656,499910656,109,8,27216.55489,1640,3436,176704,131490.6667,1332,196.5572545,0.433431439,196.990686,557.5791535,27845.61105,3192.180089,31037.79114,88922.26141,446253056,33.25815634,25.15870451,8.099451829,494239744,476217344,0.066675496,307175424,306286592,316801024,315875328,315875328,83,8,122712.7955,1360,480,228384,69048,2843.833333,222.7784951,132.7714764,355.5499715,362.9116185,6244655.286,5800690.201,12045345.49,5684.260372,295636992
1208,12.31863073,8.83280054,3.485830187,1941856256,1908301824,55.90503927,724926464,468351658.7,860602368,509641386.7,509641386.7,108,8,27276.36613,1640,3436,176704,130296,1328,153.0515721,0.366754111,153.4183262,441.4280244,21682.30605,2627.127892,24309.43394,67349.86857,458590890.7,30.54651769,23.28157177,7.264945919,494239744,476217344,0.083335997,307175424,306287274.7,316801024,315875328,315875328,83,8,122772.8034,1360,480,228384,69048,2843,188.5422715,107.8314482,296.3737196,303.9437568,5172173.487,4759017.686,9931191.172,4601.602984,295637674.7
1129,13.07049029,9.240981253,3.829509041,1941856256,1907253248,246.5548035,724926464,500902570.7,860602368,556849834.7,556849834.7,107,8,27336.22603,1640,3436,176704,129453.3333,1324,196.2177577,0.433717398,196.6514751,562.574366,27797.51567,3050.741657,30848.25733,89327.09921,491141802.7,34.54066412,26.17892541,8.361738719,494239744,476217344,0,307175424,306290688,316801024,315875328,315875328,83,8,122832.7929,1360,480,228384,69048,2845.5,217.2446471,135.117287,352.3619341,362.7213598,6195454.679,5920212.565,12115667.25,6116.781116,295641088
1244,12.21408801,9.089076286,3.125011721,1941856256,1907253248,14.03430844,724926464,490825045.3,860602368,534885034.7,534885034.7,107,8,27396.34208,1640,3436,176704,127736,1324,158.7731951,0.400137978,159.173333,450.3932917,22492.8693,2864.612902,25357.4822,70119.03024,481064277.3,34.58354861,27.24080474,7.342743871,494239744,476042581.3,0.066767485,307175424,306287957.3,316801024,315871232,315871232,82.83333333,8,122892.7981,1360,480,228384,69008,2844,229.0115533,124.2841892,353.2957425,338.6368899,6205243.528,5475220.987,11680464.52,5370.615218,295638357.3
1307,16.90313069,11.45953219,5.443598505,1941856256,1910573739,156.0893329,724926464,487899136,860602368,537630720,537630720,110.1666667,8,27456.34534,1640,3436,174202.6667,125621.3333,1325,197.0755762,0.400394112,197.4759703,571.6673352,27919.03997,2863.89748,30782.93745,96851.2423,478138368,35.49479167,27.23958333,8.255208333,494239744,476217344,0.066674197,307175424,306287274.7,316801024,315875328,315875328,83,8,122952.7929,1360,480,228384,69829.33333,2843.333333,227.4819512,152.4831124,379.9650636,417.1517202,6971995.286,6975062.48,13947057.77,8257.747725,295637674.7
1078,14.42687268,9.635645334,4.791227345,1941856256,1932419072,148.0901381,724926464,497778005.3,860602368,540645376,540645376,131,8,27516.34224,1640,3436,183200,157213.3333,1449,193.9591795,0.450327541,194.409507,555.5476991,27477.55042,3152.717624,30630.26805,90429.8195,488017237.3,37.421875,27.55208333,9.869791667,494239744,476042581.3,0.06666774,307175424,306283861.3,316801024,315871232,315871232,82.83333333,8,123012.7929,1360,480,228384,69789.33333,2844,230.5314989,126.6153212,357.14682,348.5464298,6198128.811,5542051.419,11740180.23,4601.615086,295634261.3
1413,14.11243297,9.972636652,4.139796323,1941856256,1932593835,112.4647243,724926464,457148416,860602368,499522901.3,499522901.3,131.1666667,8,27576.34876,1640,3436,183200,156848,1449.666667,188.7615299,0.400166602,189.1616965,540.118053,26741.21673,2960.129299,29701.34604,87988.77266,447387648,33.95833333,25.9375,8.020833333,494239744,476042581.3,0.083331254,307175424,306285226.7,316801024,315871232,315871232,82.83333333,8,123072.7929,1360,480,228384,69008,2844,220.8622174,131.4807874,352.3430048,357.0761392,6201415.224,5791059.857,11992475.08,5285.408359,295635626.7
1101,12.78332557,8.305126811,4.478198754,1941856256,1933467648,259.2793308,724926464,509181952,860602368,561392981.3,561392981.3,132,8,27636.3512,1640,3436,183200,153858.6667,1453,182.6403843,0.433631555,183.0740159,515.7446742,25874.05444,3098.49141,28972.54585,82187.64984,499421184,37.18105791,27.59836901,9.582688902,494239744,476042581.3,0.066668019,307175424,306287957.3,316801024,315871232,315871232,82.83333333,8,123132.7955,1360,480,228384,69008,2845,230.0366623,134.7040098,364.7406722,367.03726,6362363.783,5909586.128,12271949.91,5857.899133,295638357.3
1167,13.38780484,9.402620221,3.985184621,1941856256,1933467648,3.18713449,724926464,493755733.3,860602368,532327082.7,532327082.7,132,8,27696.34762,1640,3436,183200,154301.3333,1453,177.6650737,0.400168753,178.0652425,509.388001,25169.21878,3007.090497,28176.30927,80198.06025,483994965.3,38.51297162,29.60667273,8.906298891,494239744,476217344,0,307175424,306290688,316801024,315875328,315875328,83,8,123192.7955,1360,480,228384,69048,2844.833333,232.7278449,126.1663991,358.894244,343.1283502,6191068.433,5539367.986,11730436.42,4155.382012,295641088
