req/minp,java_% Processor Time,java_% User Time,java_% Privileged Time,java_Virtual Bytes Peak,java_Virtual Bytes,java_Page Faults/sec,java_Working Set Peak,java_Working Set,java_Page File Bytes Peak,java_Page File Bytes,java_Private Bytes,java_Thread Count,java_Priority Base,java_Elapsed Time,java_ID Process,java_Creating Process ID,java_Pool Paged Bytes,java_Pool Nonpaged Bytes,java_Handle Count,java_IO Read Operations/sec,java_IO Write Operations/sec,java_IO Data Operations/sec,java_IO Other Operations/sec,java_IO Read Bytes/sec,java_IO Write Bytes/sec,java_IO Data Bytes/sec,java_IO Other Bytes/sec,java_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
11288,50.03879911,43.22797851,6.810820602,1415479296,1415479296,121.4208543,571760640,550514005.3,634335232,620331008,620331008,150,8,1730.829973,1372,820,180800,172359.3333,1540.666667,1699.625994,3.699080478,1703.325074,4500.111222,240779.7889,29660.28116,270440.07,715141.2761,539741525.3,34.88296611,24.97954935,9.903416769,857632768,833298432,24.83482143,473292800,240989525.3,705519616,685010261.3,685010261.3,79,8,358804.927,1640,624,168128,72370.66667,2477.166667,970.5571079,1288.280328,2258.837436,3244.499428,39784787.6,59979525.93,99764313.53,146223.2959,235447637.3
14379,62.45166916,53.66289678,8.788772376,1415479296,1415479296,315.8064888,573562880,557050538.7,636817408,625614165.3,625614165.3,150,8,1790.832577,1372,820,186720,198246,1571.5,2114.712595,4.383199293,2119.095794,5564.822303,299584.2844,35405.62156,334989.9059,891822.1531,546278058.7,46.22955285,37.72726726,8.502285592,857632768,833298432,68.5484973,473292800,241072128,705519616,684574720,684574720,79,8,358864.9306,1640,624,168128,79354.66667,2480.166667,1217.213635,1615.334364,2832.548,4055.502678,49897200.97,75355108.07,125252309,182958.8409,235530240
18342,81.61719059,72.0488646,9.568325998,1427013632,1425965056,196.3005593,579685717.3,577460906.7,642097152,639139157.3,639139157.3,160,8,1970.836355,1372,820,190368,227946,1685.5,2570.415594,5.317039948,2575.732634,6695.893821,364142.2091,43031.04164,407173.2508,1079900.818,566688426.7,47.16558429,36.6092297,10.55635459,857632768,833298432,90.77766062,473292800,242077013.3,705519616,685208234.7,685208234.7,79,8,359044.9413,1640,624,168128,86949.33333,2486.166667,1468.950651,1945.51117,3414.46182,4915.748507,60215998.88,90490905.71,150706904.6,218730.8108,236531029.3
16837,64.48315837,56.00692473,8.476233641,1427013632,1425965056,119.3124139,586351274.7,581950122.7,654528512,648172202.7,648172202.7,160,8,2030.833526,1372,820,189056,199642.6667,1678.666667,2464.760155,5.26727117,2470.027427,6447.345595,349174.3554,42701.51771,391875.8731,1041032.468,571177642.7,50.90971006,38.2732856,12.63642446,857632768,833298432,87.91670977,473292800,243357696,705519616,685841749.3,685841749.3,79,8,359104.9397,1640,624,168128,70365.33333,2490.833333,1425.715201,1880.789728,3306.50493,4728.343401,58443478.55,88013650.79,146457129.4,212961.2427,237811712
12212,58.31900988,50.62344189,7.695567983,1427013632,1425965056,181.1324866,586907648,568786944,654528512,634892970.7,634892970.7,160,8,2090.83253,1372,820,182560,179882.6667,1644.833333,1861.82206,3.850014336,1865.672074,4906.211759,263758.1252,31052.80977,294810.9349,783887.9014,558014464,33.61912927,25.45485503,8.164274239,857632768,833298432,40.13555968,473292800,243385685.3,705519616,685579605.3,685579605.3,79,8,359164.9381,1640,624,168128,73933.33333,2492.5,1051.659651,1390.978881,2442.638533,3521.316257,43110652.21,64973625.67,108084277.9,158037.4525,237839701.3
14869,57.46882759,50.26600164,7.202825955,1427013632,1425965056,291.8736504,595545429.3,591755946.7,655166122.7,649517738.7,649517738.7,160,8,2150.832901,1372,820,184864,181514.6667,1656.833333,2119.077571,4.350684533,2123.428256,5575.720647,300202.656,35363.0277,335565.6837,899825.9598,580983466.7,41.93940875,33.30711879,8.632289957,857632768,833123669.3,71.6539068,473292800,244531882.7,705519616,686005589.3,686005589.3,78.83333333,8,359224.9364,1640,624,168128,70258.66667,2492.833333,1221.109992,1618.660205,2839.770197,4059.549886,50056924.9,75480650.01,125537574.9,182046.981,238985898.7
15449,59.99331796,52.19175496,7.801562995,1427013632,1426314581,209.8234331,602506581.3,594102954.7,656441344,649771690.7,649771690.7,160,8,2210.830938,1372,820,184896,210458,1657,2268.457122,4.783533007,2273.240655,5949.795476,321364.759,38739.29672,360104.0557,953942.6514,583330474.7,47.56944833,38.00371891,9.565729415,857632768,833298432,78.73618404,473292800,243854677.3,705519616,684849834.7,684849834.7,79,8,359284.9452,1640,624,168128,70338.66667,2495.666667,1298.279124,1714.911245,3013.190369,4333.108379,53220317.18,80120526.27,133340843.5,194974.9011,238308693.3
15553,65.06011423,56.32289506,8.737219166,1427013632,1427013632,170.7693349,602599424,599059114.7,656441344,650765653.3,650765653.3,160,8,2270.833475,1372,820,185088,197213.3333,1657.666667,2339.816128,5.183964655,2345.000092,6124.638928,331473.9514,42177.02578,373650.9772,986013.3673,588286634.7,49.03764718,40.17134936,8.866297821,857632768,833298432,114.2273029,473292800,244855466.7,705519616,685271040,685271040,79,8,359344.9488,1640,624,168128,74938.66667,2496.333333,1336.044663,1763.769508,3099.814171,4449.855811,54768027.89,82513206.12,137281234,199371.7468,239309482.7
10458,46.20744638,40.46411815,5.743328227,1427188395,1427188395,169.9372382,602599424,577409024,656441344,629084160,629084160,160,8,2330.841712,1372,820,182688,170844.6667,1645.5,1705.223225,3.532378026,1708.755603,4513.057632,241573.2901,28428.24372,270001.5339,721763.4784,566636544,35.88120525,30.16101311,5.720192142,857632768,833298432,48.01943822,473292800,245108053.3,705519616,684788394.7,684788394.7,79,8,359404.9471,1640,624,168128,73248,2503.166667,982.9070642,1313.709558,2296.616622,3268.489836,40292279.49,61062247.15,101354526.6,146870.225,239562069.3
11242,52.96603695,46.41366225,6.552374699,1428062208,1428062208,372.3185556,602599424,581181440,664702976,639464106.7,639464106.7,160,8,2390.841483,1372,820,182016,188256,1642,1647.601284,3.45056707,1651.051851,4364.218125,233410.1819,27968.51689,261378.6988,695710.0426,570408960,27.40492054,21.29471529,6.110205242,857632768,833298432,18.80106893,473292800,245899946.7,705519616,685539328,685539328,79,8,359464.9455,1640,624,168128,79584,2506.833333,945.5027099,1256.78676,2202.28947,3154.342498,38758963.94,58489903.95,97248867.89,142095.3885,240353962.7
9562,43.73579121,38.63937517,5.096416035,1428062208,1428062208,31.04559686,602599424,529519957.3,664702976,584881493.3,584881493.3,160,8,2450.84102,1372,820,180096,171284.6667,1632,1489.603565,3.233836744,1492.837402,3961.20654,211027.1717,26104.91162,237132.0833,628960.2569,518747477.3,28.47095634,22.20474586,6.266210482,857632768,833298432,17.98703766,473292800,245510826.7,705519616,684834816,684834816,79,8,359524.9439,1640,624,168128,76080,2511.5,853.1058985,1135.690808,1988.796707,2850.302649,34971344.08,52848290.57,87819634.67,128691.6969,239964842.7
11317,52.52471743,45.99813423,6.5265832,1428062208,1428062208,428.8904576,602599424,526178986.7,664702976,584880810.7,584880810.7,160,8,2510.837124,1372,820,181472,197870.6667,1639.166667,1630.860212,3.367109523,1634.227322,4318.301623,231038.53,27302.32043,258340.8505,684291.8743,515406506.7,29.35498604,23.42678691,5.928199128,857632768,833298432,16.35092698,473292800,247185408,705519616,684123477.3,684123477.3,79,8,359584.9422,1640,624,168128,69669.33333,2515.333333,933.8872135,1233.221144,2167.108358,3118.913259,38243843.82,57493861.33,95737705.16,140487.1729,241639424
14032,64.40687827,56.73597568,7.670902582,1428062208,1428062208,408.0629273,602632192,577278634.7,664702976,636798293.3,636798293.3,160,8,2570.837062,1372,820,184160,175501.3333,1653.166667,2036.152489,4.200389974,2040.352879,5354.982714,288454.936,33996.23098,322451.1669,862400.1449,566506154.7,41.08137993,31.79906813,9.282311793,857632768,833298432,6.683777659,473292800,248833365.3,705519616,685072384,685072384,79,8,359644.9406,1640,624,168128,70408,2518,1168.815675,1546.336894,2715.152569,3887.969896,47914593.51,72172566,120087159.5,175127.3448,243287381.3
9774,39.17324667,34.36401987,4.8092268,1428062208,1428062208,63.99744649,602697728,582134442.7,664702976,638470826.7,638470826.7,160,8,2630.838932,1372,820,179328,159337.3333,1628,1621.629236,3.64973947,1625.278975,4292.201031,229730.8085,29375.91441,259106.7229,680900.8115,571361962.7,34.6591642,28.08094324,6.578220964,857632768,833298432,33.05197782,473292800,248507733.3,705519616,684909226.7,684909226.7,79,8,359704.939,1640,624,168128,76536,2521,925.7033242,1228.370762,2154.074087,3093.91153,37945960.38,57173270.21,95119230.58,139896.6577,242961749.3
10292,40.48154856,35.95722193,4.524326633,1428062208,1428062208,359.6966721,602697728,546078037.3,664702976,599040682.7,599040682.7,160,8,2690.842203,1372,820,179328,157684.6667,1628,1489.318674,3.116419057,1492.435093,3964.886062,210986.8122,25016.31732,236003.1295,629933.6094,535305557.3,27.81080956,22.74185424,5.068955313,857632768,833123669.3,6.316023566,473292800,248924842.7,705519616,685210965.3,685210965.3,78.83333333,8,359764.953,1640,624,168128,70426.66667,2520.833333,857.8113936,1139.80113,1997.612523,2857.58342,35164236.46,53013490.52,88177726.98,129377.6083,243378858.7
10958,48.33866042,41.76010702,6.5785534,1428062208,1428062208,110.4010522,602697728,560074069.3,664702976,604155904,604155904,160,8,2750.844607,1372,820,182112,175695.3333,1642.5,1633.711756,3.450447581,1637.162204,4331.312281,231442.4988,27832.67266,259275.1714,690747.8484,549301589.3,31.9290725,23.08877555,8.840296946,857632768,833123669.3,1.450084054,473292800,250057386.7,705519616,685993301.3,685993301.3,78.83333333,8,359824.9513,1640,624,168128,76453.33333,2521.833333,937.8044784,1245.022279,2182.826757,3129.631736,38443390.57,57936945.6,96380336.14,141946.546,244511402.7
11995,65.8695558,53.49088387,12.37867194,1428062208,1428062208,469.1584964,606167040,575931050.7,664702976,624467968,624467968,160,8,2810.851918,1372,820,183104,171684,1647.666667,1750.788543,3.65035961,1754.438902,4620.601785,248028.3769,29605.55956,277633.9365,739741.8849,565158570.7,34.19114848,25.870869,8.320279478,857632768,833476608,29.90169363,473292800,250946218.7,705519616,686782464,686782464,79,8,359884.9497,1640,624,168128,73982.66667,2522.333333,1003.807923,1332.726904,2336.534827,3349.909965,41149067.78,62182761.73,103331829.5,150995.1776,245400234.7
192,11.18937769,9.784103798,1.405273892,1428062208,1428062208,102.772354,613105664,595558400,664702976,638421674.7,638421674.7,160,8,2870.845556,1372,820,184160,147840,1653.166667,377.223634,1.000542921,378.2241769,1004.726953,53440.01482,7709.15575,61149.17057,156018.0087,584785920,6.110205242,4.420148474,1.690056769,857632768,833298432,20.88448889,473292800,251266389.3,705519616,686217216,686217216,79,8,359944.9481,1640,624,168128,69616,2528.166667,205.9111995,308.4835167,514.3947163,701.3548369,8441424.995,13872870.13,22314295.12,29640.8931,245720405.3
11895,39.52572142,33.72718452,5.798536895,1428062208,1396430165,173.4620891,613105664,596172117.3,664702976,637891925.3,637891925.3,129.8333333,8,2930.848027,1372,820,180832,155924.6667,1515.166667,1327.852947,2.76704766,1330.619995,3497.494736,188112.5009,22287.79613,210400.297,567771.327,585399637.3,25.45485503,20.04667337,5.408181662,857632768,833298432,14.76793892,473292800,249745408,705519616,684487338.7,684487338.7,79,8,360004.9464,1640,624,168128,86944,2526.666667,782.4971352,1040.312363,1822.809498,2587.956055,32076367.92,48216892.95,80293260.89,117405.8937,244199424
12391,61.84369914,53.73267125,8.111027892,1428062208,1390313472,11.8555582,613105664,597078698.7,664702976,639014229.3,639014229.3,124,8,2990.847531,1372,820,183136,172764.6667,1503.833333,2041.77557,4.316106646,2046.091676,5352.584106,289251.539,34847.11511,324098.6541,852180.3373,586306218.7,37.57126202,29.0949773,8.47628472,857632768,833298432,55.15311437,473292800,249366528,705519616,684011520,684011520,79,8,360064.9448,1640,624,168128,75754.66667,2524.166667,1155.06568,1528.286884,2683.352563,3871.720258,47349572.41,71308330.99,118657903.4,172776.0939,243820544
