req/minp,java_% Processor Time,java_% User Time,java_% Privileged Time,java_Virtual Bytes Peak,java_Virtual Bytes,java_Page Faults/sec,java_Working Set Peak,java_Working Set,java_Page File Bytes Peak,java_Page File Bytes,java_Private Bytes,java_Thread Count,java_Priority Base,java_Elapsed Time,java_ID Process,java_Creating Process ID,java_Pool Paged Bytes,java_Pool Nonpaged Bytes,java_Handle Count,java_IO Read Operations/sec,java_IO Write Operations/sec,java_IO Data Operations/sec,java_IO Other Operations/sec,java_IO Read Bytes/sec,java_IO Write Bytes/sec,java_IO Data Bytes/sec,java_IO Other Bytes/sec,java_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
13845,107.1664611,84.90993477,22.25652639,2754191360,2748948480,368.8068464,837758976,623745706.7,1086640128,741379413.3,741379413.3,154,8,1751.663804,4752,4972,177920,173277.3333,1607.166667,2080.960017,4.400303951,2085.360322,5522.255304,294802.6691,35727.09034,330529.7595,887478.5133,612960938.7,31.98148426,23.37508484,8.606399422,817795072,816551253.3,67.57014589,574930944,572625578.7,691793920,687628970.7,687628970.7,78.83333333,8,2316.53594,1088,636,143568,86112,912.3333333,1189.228506,1573.8985,2763.127007,3968.089663,48748367.43,73404308.98,122152676.4,179886.671,563655338.7
16063,123.2763721,96.05106425,27.22530787,2754191360,2749822293,598.0371185,837758976,624310954.7,1086640128,743180288,743180288,154,8,1811.660204,4752,4972,180160,182020,1618.833333,2431.122498,5.133894564,2436.256392,6427.227705,344409.0205,41667.74445,386076.765,1041595.404,613526186.7,54.18651479,45.63211779,8.554397009,817795072,816551253.3,42.8521264,575046997.3,572360704,691793920,686281386.7,686281386.7,78.83333333,8,2376.53354,1088,636,143568,74479.33333,914.5,1385.571278,1827.760674,3213.331952,4616.320791,56797450.92,85487127.01,142284577.9,209262.9985,563390464
16378,126.381653,101.4752577,24.90639531,2754191360,2749997056,636.698194,837758976,680897194.7,1086640128,820756480,820756480,154,8,1871.657937,4752,4972,180768,188797.3333,1622,2505.145449,5.116679556,2510.262128,6618.209161,354895.6052,41697.66012,396593.2653,1075889.353,670112426.7,41.55821799,31.36954606,10.18867192,817795072,816726016,197.426296,575627264,573399040,692206250.7,686394026.7,686394026.7,79,8,2436.56234,1088,636,143568,76237.33333,917,1422.546911,1871.109356,3293.656266,4742.933616,58312781.71,87685408.93,145998190.6,213967.7722,564428800
11330,107.4822252,81.97693933,25.50528586,2754191360,2749997056,129.8623207,837758976,664392362.7,1086640128,788016469.3,788016469.3,154,8,1931.663037,4752,4972,176800,191599.3333,1601.333333,1680.003594,3.550059946,1683.553654,4474.896814,238000.5092,28765.22223,266765.7315,715889.9876,653607594.7,41.0559054,32.99553132,8.060374082,817795072,816726016,32.7516125,575640917.3,574583466.7,693030912,687804416,687804416,79,8,2496.55994,1088,636,143568,76303.33333,920,967.5159819,1281.99868,2249.514662,3242.11519,39660943.16,59686875,99347818.16,146089.479,565613226.7
14531,109.1099608,85.73244726,23.37751356,2754191360,2750346581,634.5671521,837758976,657623040,1086640128,762900480,762900480,154,8,1991.663904,4752,4972,180544,193580.6667,1620.833333,2125.906936,4.467221727,2130.374158,5637.47833,301170.1492,36184.43964,337354.5889,908028.1376,646838272,34.78961459,26.62523568,8.164378909,817795072,816726016,37.76860237,576174762.7,575350101.3,693030912,688279552,688279552,79,8,2556.55754,1088,636,143568,74596.66667,923.6666667,1251.8983,1652.719112,2904.617412,4175.699983,51318208.73,77197694.95,128515903.7,189208.3688,566379861.3
17415,114.0816275,89.40774116,24.67388636,2754191360,2751045632,655.3313099,837758976,657173845.3,1086640128,777216682.7,777216682.7,154,8,2051.668271,4752,4972,184064,231088,1640,2554.598667,5.350091105,2559.948758,6751.046633,361901.4716,43413.56615,405315.0377,1101246.755,646389077.3,41.88794402,32.1374915,9.750452518,817795072,816726016,97.47154482,577652736,574464682.7,693030912,685873834.7,685873834.7,79,8,2616.55514,1088,636,143568,70186,930.1666667,1473.525288,1957.366714,3430.892002,4926.001747,60404177.49,91429674.61,151833852.1,221212.8525,565494442.7
175,11.46924597,9.596723172,1.8725228,2761181867,2760133291,187.3927799,837758976,693586602.7,1086640128,799367168,799367168,162.6666667,8,2111.666471,4752,4972,183936,170152,1703.166667,185.3045492,0.600178777,185.904728,511.4942046,26251.47779,4771.116694,31022.59449,69668.64724,682801834.7,0.936043442,0.676031375,0.260012067,817795072,816726016,3.750191414,578506752,575016277.3,693030912,687554560,687554560,79,8,2676.55274,1088,636,143568,70626.66667,944,26.55135744,73.32039758,99.871755,105.9887485,1089343.685,2867804.369,3957148.053,3431.641944,566046037.3
10165,52.49493879,41.54854392,10.94639488,2764677120,2764677120,288.1576668,837758976,690929664,1086640128,796663808,796663808,167,8,2171.663137,4752,4972,181802.6667,204117.3333,1720.833333,1147.534581,2.250150065,1149.784731,3063.557517,162567.399,17941.33603,180508.7351,514550.8964,680144896,25.74119465,19.68291348,6.058281164,825550848,825016320,252.7696755,578670592,574725461.3,695023616,686937429.3,686937429.3,79,8,2736.55034,1088,636,143568,70972,940.6666667,722.8594336,956.4465631,1679.305996,2443.38867,29631803.64,44577993.19,74209796.82,107138.6869,565755221.3
13612,132.2079088,100.5545487,31.65336007,2764677120,2764677120,582.4572993,837758976,699970218.7,1086640128,802433024,802433024,167,8,2231.663404,4752,4972,184416,215627.3333,1716.833333,2169.817349,4.650742232,2174.468091,5720.308978,307390.4201,37560.62227,344951.0424,908932.8605,689185450.7,38.27377629,30.23940341,8.034372874,833306624,833306624,86.35297008,578895872,575793152,697016320,686678016,686678016,79,8,2796.54794,1088,636,143568,97141.33333,941.5,1220.844042,1623.789859,2844.633902,4054.741193,50044218.17,75562143.61,125606361.8,183418.2321,566822912
13608,118.033177,91.4378475,26.59532947,2764677120,2764677120,463.0441907,837758976,633421141.3,1086640128,747510442.7,747510442.7,167,8,2291.662237,4752,4972,183456,230188.6667,1711.833333,1988.075182,4.166682375,1992.241864,5288.58464,281643.9848,33872.33075,315516.3156,858964.1404,622636373.3,33.12553736,25.63718982,7.488347535,833306624,833306624,59.03625321,579041962.7,576773461.3,697016320,687077376,687077376,79,8,2856.54554,1088,636,143568,79725.33333,946.6666667,1142.409778,1512.012443,2654.422221,3823.383445,46830769.42,70585303.64,117416073.1,172294.5812,567803221.3
