req/minv,java_% Processor Time,java_% User Time,java_% Privileged Time,java_Virtual Bytes Peak,java_Virtual Bytes,java_Page Faults/sec,java_Working Set Peak,java_Working Set,java_Page File Bytes Peak,java_Page File Bytes,java_Private Bytes,java_Thread Count,java_Priority Base,java_Elapsed Time,java_ID Process,java_Creating Process ID,java_Pool Paged Bytes,java_Pool Nonpaged Bytes,java_Handle Count,java_IO Read Operations/sec,java_IO Write Operations/sec,java_IO Data Operations/sec,java_IO Other Operations/sec,java_IO Read Bytes/sec,java_IO Write Bytes/sec,java_IO Data Bytes/sec,java_IO Other Bytes/sec,java_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
2877,27.11701029,18.96338061,8.153629686,1406529536,1333783211,0.600950832,608587776,543052458.7,650301440,574435328,574435328,97.16666667,8,9560.663737,1736,3064,173938.6667,108133.3333,1371,413.9752705,0.851077513,414.826348,1167.860737,58646.49666,6748.244844,65394.7415,190964.0358,537502378.7,44.55729167,35.49479167,9.0625,481484800,480240981.3,0.066679443,300589056,297964885.3,313278464,309886976,309886976,86.83333333,8,278418.8346,1288,472,225192,72890.66667,2625.333333,528.6874582,298.1323549,826.8198131,845.8808168,14843167.49,13535423.2,28378590.68,8025.071529,287384917.3
3000,27.49291779,18.82125132,8.671666467,1406529536,1332210347,67.35182918,608587776,494017194.7,650301440,531778901.3,531778901.3,95.66666667,8,9620.304022,1736,3064,178232,123298.6667,1384.333333,437.1855035,0.917818113,438.1033217,1243.371802,61934.613,7008.06981,68942.68281,207041.437,488467114.7,45.88541667,36.45833333,9.427083333,481484800,480415744,0.066669734,300589056,297964885.3,313278464,309885610.7,309885610.7,87,8,278478.8346,1288,472,225192,74360,2624.666667,557.9021764,319.2113252,877.1135016,878.0640515,15712449.02,14440488.4,30152937.43,8718.629588,287384917.3
3101,27.42547522,19.77580757,7.649667655,1406529536,1344618496,376.0790977,608587776,495764821.3,650301440,536535722.7,536535722.7,107.5,8,9680.450494,1736,3064,178904,126213.3333,1434.333333,471.5675727,0.983887398,472.5514601,1338.964631,66805.40613,7609.899966,74415.30609,228689.1081,490214741.3,47.99052504,37.44392477,10.54660028,481484800,480415744,0.066571749,300589056,297963520,313278464,309882880,309882880,87,8,278538.8294,1288,472,225192,73528,2624,556.7502229,324.3806919,881.1309148,919.9227599,15893164.68,14767625.02,30660789.69,9905.356219,287383552
2733,26.59416776,18.72747949,7.866688269,1406529536,1348288512,223.1088472,608587776,504644949.3,650301440,543262720,543262720,111,8,9740.454725,1736,3064,177970.6667,125565.3333,1444.333333,430.0365168,0.884495068,430.9210119,1212.013676,60921.83988,6835.549134,67757.38902,201214.7061,499094869.3,45.46875,35.390625,10.078125,481484800,480415744,0.083309066,300589056,297964885.3,313278464,309884245.3,309884245.3,87,8,278598.8346,1288,472,225192,73109.33333,2628.166667,539.9461486,297.2372975,837.1834462,830.8308087,14945836.08,13445469.67,28391305.75,8230.241209,287384917.3
2365,25.74916332,18.14753867,7.601624646,1406529536,1345492309,103.8921638,608587776,481399466.7,650301440,514975061.3,514975061.3,108.3333333,8,9800.455377,1736,3064,174760,117674.6667,1419.333333,354.0506252,0.750702282,354.8013274,1002.701705,50157.1719,5890.260504,56047.4324,162389.8217,475849386.7,40.078125,30.80729167,9.270833333,481484800,480240981.3,0,300589056,297964885.3,313278464,309882880,309882880,86.83333333,8,278658.8346,1288,472,225192,73061.33333,2626.5,482.9263461,253.0723487,735.9986949,691.5159757,12985082.93,11307570.53,24292653.46,6966.365064,287384917.3
2530,28.689733,19.70755927,8.982173726,1406529536,1336404651,28.0209918,608587776,438284288,650301440,473399296,473399296,99.66666667,8,9860.457167,1736,3064,170541.3333,96317.33333,1365.833333,373.5819488,0.800548805,374.3824976,1055.524561,52924.10941,6108.963574,59033.07299,172102.8142,432734208,39.01041667,31.14583333,7.864583333,481484800,480415744,0.083344593,300589056,297971712,313278464,309891072,309891072,87,8,278718.8346,1288,472,225192,72760,2624.666667,434.0789866,265.1351095,699.2140961,750.568348,12699188.48,12093161.14,24792349.62,9308.375608,287391744
2546,27.85300382,18.76693902,9.086064798,1406529536,1322074112,145.2660335,608587776,412820821.3,650301440,446710442.7,446710442.7,86,8,9919.985631,1736,3064,170466.6667,94378.66667,1310.833333,368.3608068,0.783923118,369.1447299,1034.657252,52184.44763,5986.941471,58171.3891,168246.1091,407270741.3,42.5,32.78645833,9.713541667,481484800,480415744,0.083340223,300589056,297971712,313278464,309891072,309891072,87,8,278778.8346,1288,472,225192,72760,2625.5,500.7225528,265.3443997,766.0669526,748.0477659,13586420.03,11984690.72,25571110.75,9317.694248,287391744
3191,27.45695583,18.39182536,9.065130477,1406529536,1317355520,285.8874518,608587776,447487317.3,650301440,483422208,483422208,81.5,8,9980.241918,1736,3064,174013.3333,108202.6667,1308.333333,451.6286852,0.968128155,452.5968133,1277.005145,63980.7304,7418.684319,71399.41472,209032.0176,441937237.3,50.15625,39.73958333,10.41666667,481484800,480240981.3,0.066664888,300589056,297965568,313278464,309883562.7,309883562.7,86.83333333,8,278838.8346,1288,472,225192,72805.33333,2628,585.4412032,330.2652588,915.7064621,941.6271393,16564516.87,15054206.19,31618723.06,11459.69856,287385600
2694,23.09657477,15.98775571,7.10881906,1406529536,1339899904,467.5421295,608587776,519172778.7,650301440,561176576,561176576,103,8,10040.24485,1736,3064,177336,117802.6667,1409.5,449.2255636,0.967647513,450.1932111,1262.795061,63640.28818,7397.071125,71037.35931,208745.1187,513622698.7,42.13541667,32.03125,10.10416667,481484800,480240981.3,0.08333221,300589056,297968298.7,313278464,309882880,309882880,86.83333333,8,278898.8346,1288,472,225192,72720,2625.5,516.9488476,281.6327544,798.5816019,784.9710881,14235966.42,12697298.11,26933264.53,9642.51526,287388330.7
2589,28.59123533,20.70026146,7.890973873,1406529536,1335006549,5.305621347,608587776,464990208,650301440,495188650.7,495188650.7,98.33333333,8,10100.24892,1736,3064,170578.6667,99138.66667,1360.666667,372.0152018,0.767364584,372.7825664,1045.541414,52702.15359,5972.275047,58674.42864,171143.968,459440128,43.57247232,33.90365539,9.668816933,481484800,480240981.3,0.066670197,300589056,297966933.3,313278464,309880832,309880832,86.83333333,8,278959.0664,1288,472,225192,72720,2625,523.0989567,272.6002826,795.6992393,763.2142899,14190840.79,12352321.38,26543162.17,9117.047085,287386965.3
