req/minv,wamp_% Processor Time,wamp_% User Time,wamp_% Privileged Time,wamp_Virtual Bytes Peak,wamp_Virtual Bytes,wamp_Page Faults/sec,wamp_Working Set Peak,wamp_Working Set,wamp_Page File Bytes Peak,wamp_Page File Bytes,wamp_Private Bytes,wamp_Thread Count,wamp_Priority Base,wamp_Elapsed Time,wamp_ID Process,wamp_Creating Process ID,wamp_Pool Paged Bytes,wamp_Pool Nonpaged Bytes,wamp_Handle Count,wamp_IO Read Operations/sec,wamp_IO Write Operations/sec,wamp_IO Data Operations/sec,wamp_IO Other Operations/sec,wamp_IO Read Bytes/sec,wamp_IO Write Bytes/sec,wamp_IO Data Bytes/sec,wamp_IO Other Bytes/sec,wamp_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
531,6.640625,1.354166667,5.286458333,316006400,315719680,28.24971376,113287168,113266005.3,169558016,169553920,169553920,68,8,1427.046875,3688,3240,260520,134688,591.3333333,0,8.799742923,8.799742923,507.8929077,0,1660.190941,1660.190941,14859.97525,103472469.3,7.679569683,1.900472894,5.779096789,507822080,488943616,0,300904448,299827200,316968960,311836672,311836672,96,8,56869.4974,1280,500,233608,81920,3205,659.7328503,26.22560536,685.9584557,92.32262586,1300111.353,676546.1894,1976657.542,2594.201701,289189888
614,6.432291667,1.484375,4.947916667,316006400,315719680,34.24761546,113313109.3,113296042.7,169568938.7,169564842.7,169564842.7,68,8,1487.046875,3688,3240,266280,153474.6667,601,0,10.2326153,10.2326153,575.8406215,0,2028.772767,2028.772767,17213.66217,103502506.7,9.346323706,1.926556459,7.419767247,507822080,488943616,0,300904448,299827200,316968960,311836672,311836672,96,8,56929.49479,1280,500,233608,82066.66667,3205,993.5062183,27.94221822,1021.448437,124.3415896,1828665.035,695369.0212,2524034.056,3920.645629,289189888
517,5.494791667,1.458333333,4.036458333,316006400,315719680,28.70002486,113326080,113302869.3,169570304,169566208,169566208,68,8,1547.046875,3688,3240,262344,140080,596.1666667,0,9.38384727,9.38384727,487.7647916,0,1830.340937,1830.340937,14418.29835,103509333.3,8.7778012,2.031821697,6.745979503,507822080,488943616,0,300904448,299827200,316968960,311836672,311836672,96,8,56989.48959,1280,500,233608,81920,3205,864.8901744,29.76221981,894.6523943,109.5923694,1679928.05,750878.6332,2430806.684,3377.388036,289189888
606,6.979166667,1.692708333,5.286458333,316006400,315719680,32.95984167,113328810.7,113307648,169570304,169566208,169566208,68,8,1607.046875,3688,3240,260520,134933.3333,587.5,0,9.631250362,9.631250362,559.1807343,0,1811.384936,1811.384936,16545.7063,103514112,6.743085348,1.822551027,4.920534321,507822080,488943616,0,300904448,299827200,316968960,311836672,311836672,96,8,57049.48698,1280,500,233608,81920,3205,684.9595811,25.20000042,710.1595815,91.77339326,1363070.395,642409.7319,2005480.127,2685.590984,289189888
651,5.807291667,1.302083333,4.505208333,316006400,315719680,35.92944334,113332224,113307648,169570304,169566208,169566208,68,8,1667.046875,3688,3240,260488,134984,586,0,10.848832,10.848832,600.1868512,0,2130.407913,2130.407913,17903.759,103514112,9.112721629,2.473717117,6.639004513,507822080,488943616,0,300904448,299827200,316968960,311836672,311836672,96,8,57109.49479,1280,500,233608,81920,3205,941.3981263,29.47318268,970.8713087,123.3020983,1781949.057,755526.3172,2537475.375,3701.189505,289189888
516,5.885416667,1.354166667,4.53125,316006400,315719680,28.08151744,113332224,113307648,169570304,169566208,169566208,68,8,1727.046875,3688,3240,256200,120736,578.5,0,8.733264366,8.733264366,488.5951386,0,1668.197414,1668.197414,14420.38191,103514112,7.135586676,1.952760886,5.182825789,507822080,488943616,0,300904448,299827200,316968960,311836672,311836672,96,8,57169.48698,1280,500,233608,81920,3205,721.423627,24.36813385,745.7917608,95.85597002,1385546.494,629836.2004,2015382.694,2834.58573,289189888
624,5.859375,1.5625,4.296875,316006400,315719680,34.44713518,113332224,113307648,169570304,169566208,169566208,68,8,1787.046875,3688,3240,257448,125200,578,0,10.39911835,10.39911835,571.8224022,0,2019.607177,2019.607177,17015.17912,103514112,9.325003629,2.604577002,6.720426627,507822080,488943616,0,300904448,299827200,316968960,311836672,311836672,96,8,57229.48698,1280,500,233608,83093.33333,3205,939.8286564,29.05558798,968.8842445,122.6175859,1762003.179,733044.0302,2495047.209,3685.140705,289189888
570,6.822916667,1.276041667,5.546875,316006400,315719680,30.16653029,113340416,113318570.7,169570304,169566208,169566208,68,8,1847.049479,3688,3240,257960,126130.6667,582.1666667,0,9.199823687,9.199823687,525.9472307,0,1712.159317,1712.159317,15427.11459,103525034.7,6.717786151,1.614098357,5.103687794,507822080,488943616,0,300904448,299827200,316968960,311836672,311836672,96,8,57289.48959,1280,500,233608,81920,3205,694.4653526,23.036396,717.5017486,90.59651136,1355042.618,593519.234,1948561.852,2717.480821,289189888
650,6.276041667,1.848958333,4.427083333,316006400,315719680,36.05580691,113356800,113332224,169570304,169566208,169566208,68,8,1907.046875,3688,3240,263976,146436.6667,595,0,10.85178129,10.85178129,591.8672488,0,2088.540047,2088.540047,17631.0109,103538688,8.85263023,2.134849674,6.717780556,507822080,488943616,0.100027893,300904448,299827200,316968960,311836672,311836672,96,8,57349.48959,1280,500,233608,81920,3205,971.535512,30.00874624,1001.544258,121.5572622,1792460.791,766094.9454,2558555.736,3819.610488,289189888
509,5.234375,1.276041667,3.958333333,316006400,315719680,28.08225409,113356800,113332224,169570304,169566208,169566208,68,8,1967.046875,3688,3240,260488,134847.3333,591,0,9.100251908,9.100251908,478.7640437,0,1778.529771,1778.529771,14158.45184,103538688,9.013682564,2.240643822,6.773038742,507822080,488943616,0,300904448,299827200,316968960,311836672,311836672,96,8,57409.49219,1280,500,233608,83680,3205,932.251154,29.80975618,962.0609101,121.4564162,1718913.363,740483.7874,2459397.151,3662.348548,289189888
