req/minp,wamp_% Processor Time,wamp_% User Time,wamp_% Privileged Time,wamp_Virtual Bytes Peak,wamp_Virtual Bytes,wamp_Page Faults/sec,wamp_Working Set Peak,wamp_Working Set,wamp_Page File Bytes Peak,wamp_Page File Bytes,wamp_Private Bytes,wamp_Thread Count,wamp_Priority Base,wamp_Elapsed Time,wamp_ID Process,wamp_Creating Process ID,wamp_Pool Paged Bytes,wamp_Pool Nonpaged Bytes,wamp_Handle Count,wamp_IO Read Operations/sec,wamp_IO Write Operations/sec,wamp_IO Data Operations/sec,wamp_IO Other Operations/sec,wamp_IO Read Bytes/sec,wamp_IO Write Bytes/sec,wamp_IO Data Bytes/sec,wamp_IO Other Bytes/sec,wamp_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
1912,5.877587898,3.875171888,2.002416011,115666261.3,115657386.7,127.8552691,24334336,24326826.67,24859989.33,24855893.33,24855893.33,68,8,18.47286945,5024,2740,152005.3333,42134.66667,239.8333333,0,14.25325698,14.25325698,811.3786464,0,2736.487279,2736.487279,21337.89104,14837077.33,13.78084725,9.516669015,4.264178237,814825472,758202368,2.016619318,574693376,572403712,679964672,663511040,663511040,39,8,2291.463408,4156,636,138352,26720,958,732.1858644,15.80199709,747.9878614,560.6936324,17910.56685,20832.1734,38742.74025,4202.351507,562794496
11372,0,0,0,102703104,102703104,0,18808832,18808832,17080320,17076224,17076224,67,8,57.967826,5816,2740,148144,38448,219,0,0,0,0,0,0,0,0,9801728,6.707129619,4.627352668,2.079776951,814825472,758202368,11.61119441,574693376,572876800,679964672,663508992,663508992,39,8,2351.470441,4156,636,138128,26032,958.8333333,701.7208256,46.4430835,748.1639092,562.4357509,17181.21189,1258056.872,1275238.084,4097.990779,563267584
13534,1.768626524,0.858300609,0.910325915,125779285.3,125465941.3,211.4021976,28783957.33,28777813.33,32624640,32621226.67,32621226.67,67.33333333,8,94.28271895,5558.666667,2740,158682.6667,48929.33333,258.3333333,0,8.77062747,8.77062747,571.570304,0,1739.815832,1724.374236,15551.13464,19591850.67,0,0,0,814825472,758202368,0.066667505,574693376,573038592,679964672,663506944,663506944,39,8,2411.469975,4156,636,137904,25344,960,0,0,0,0,0,0,0,0,563429376
3573,17.48294578,10.90101206,6.581933727,140814336,140779520,250.5515896,32445098.67,32423253.33,38023850.67,38023168,38023168,69,8,4.74426155,5384,2740,168560,52738.66667,283,0,75.58420806,75.58420806,4428.533206,0,14792.71364,14792.71364,119604.9373,22450858.67,12.08379381,8.679542218,3.404251588,814825472,762047146.7,22.38916033,574817621.3,573438634.7,679964672,664549376,664549376,42.66666667,8,2471.471175,4156,636,139098.6667,29893.33333,973.3333333,1821.018358,6.630123375,1827.648482,1330.988938,44570.70453,50731.70503,95302.40957,10407.02813,563829418.7
3719,13.30986111,8.448692237,4.861168868,126647637.3,126494037.3,166.9299195,30558890.67,30539776,34624170.67,34619392,34619392,69,8,19.42455515,1650,2740,162301.3333,48464,269.8333333,0,29.51414992,29.51414992,1712.388585,0,5776.717307,5776.717307,45327.58598,20565333.33,63.34147673,45.71184485,17.62963188,814825472,761522858.7,60.52021033,576966656,576503808,679964672,664400554.7,664400554.7,42.16666667,8,2531.469041,4156,636,140480,34016,989.3333333,5794.716369,35.42205444,5830.138422,4322.078429,141833.7579,133484.3493,275318.1071,33393.95645,566894592
2350,9.90586538,6.447912375,3.457953008,103300437.3,103283370.7,153.0677258,20185088,20152320,19901781.33,19898368,19898368,57.66666667,8,25.1305026,3004,2740,141400,37094.66667,208.8333333,1.316663153,22.71705755,24.0337207,1355.92294,3901.322923,4454.727078,8356.050001,35625.43906,11296085.33,28.39245763,19.31868064,9.073776989,814825472,758202368,7.119025303,577986560,577645226.7,679964672,663498752,663498752,39,8,2591.473575,4156,636,139098.6667,29013.33333,981.1666667,1634.174147,44.92142928,1679.095576,1205.321406,39976.76167,975622.3197,1015599.081,9309.015571,568036010.7
240,14.09176201,8.891830543,5.199931467,114786304,114761728,106.6185164,23149909.33,23126698.67,22681600,22677504,22677504,69,8,68.2896991,2970,2740,151984,43000,244.3333333,0,32.78394185,32.78394185,1910.92423,0,6412.09247,6412.09247,50387.44235,13157717.33,12.71659123,9.101689285,3.614901949,814825472,765018112,14.80350969,579914410.7,578678101.3,679964672,665366528,665366528,45.5,8,2651.470608,4156,636,139733.3333,32522.66667,999.8333333,1121.060642,23.07062411,1144.131266,844.0959994,27436.02237,389260.1311,416696.1534,6457.598078,569068885.3
24772,2.313851614,1.637938761,0.675912854,111019349.3,110796800,91.24698193,23384746.67,23381333.33,23626410.67,23622997.33,23622997.33,67.66666667,8,22.0887751,4376,2740,151781.3333,42272,235.3333333,0,5.283148572,5.283148572,291.6650798,0,981.3273515,981.3273515,7613.516479,14052010.67,14.0389008,9.905203437,4.133697364,814825472,759949994.7,1.449850008,579969024,578728618.7,679964672,663992320,663992320,40.66666667,8,2711.472641,4156,636,138352,27120,984.3333333,771.0127997,20.8484696,791.8612693,543.6312172,18852.45334,158578.7555,177431.2089,4330.759758,569118720
8992,0,0,0,102703104,102703104,0,18812928,18812928,17080320,17076224,17076224,67,8,71.1047554,5164,2740,148144,38448,219,0,0,0,0,0,0,0,0,9805824,3.249761025,2.469771586,0.779989439,816922624,758202368,12.84366155,581113173.3,578960042.7,679964672,663573845.3,663573845.3,39,8,2771.473008,4156,636,138053.3333,25802.66667,980.3333333,196.3291348,26.89036642,223.2195013,159.4002934,4807.24679,772748.2079,777555.4547,1221.665426,569346730.7
10976,7.405209855,4.729064831,2.676145023,160374784,160027306.7,392.3404033,45606229.33,45589845.33,59314858.67,59312810.67,59312810.67,56.66666667,8,81.40579475,4863.333333,2740,168353.3333,63515.33333,260.1666667,0,54.83352952,54.83352952,3273.213488,0,10761.40673,10748.84606,88296.33028,36034560,0,0,0,817971200,758202368,0.066667495,581685248,579018752,679964672,663605248,663605248,39,8,2831.475041,4156,636,137904,25344,980,0,0,0,0,0,0,0,0,569405440
