req/minv,wamp_% Processor Time,wamp_% User Time,wamp_% Privileged Time,wamp_Virtual Bytes Peak,wamp_Virtual Bytes,wamp_Page Faults/sec,wamp_Working Set Peak,wamp_Working Set,wamp_Page File Bytes Peak,wamp_Page File Bytes,wamp_Private Bytes,wamp_Thread Count,wamp_Priority Base,wamp_Elapsed Time,wamp_ID Process,wamp_Creating Process ID,wamp_Pool Paged Bytes,wamp_Pool Nonpaged Bytes,wamp_Handle Count,wamp_IO Read Operations/sec,wamp_IO Write Operations/sec,wamp_IO Data Operations/sec,wamp_IO Other Operations/sec,wamp_IO Read Bytes/sec,wamp_IO Write Bytes/sec,wamp_IO Data Bytes/sec,wamp_IO Other Bytes/sec,wamp_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
1925,5.434492817,1.317642686,4.11685013,256595968,256570026.7,93.13169771,90402133.33,90389162.67,132971861.3,132968448,132968448,69,8,147.8595829,4812,2468,235873.3333,121820,512,0,27.26650625,27.26650625,1448.132758,0,5235.026842,5235.026842,43281.47453,80576512,16.52344011,10.14336274,6.380077371,520511488,480468992,7.173363394,303378432,301340672,324395008,311792981.3,311792981.3,88,8,968090.0874,1320,476,275002.6667,68728,5944.333333,482.4286074,221.801278,704.2298854,331.9174659,1256167.468,1691950.25,2948117.718,4063.245802,290260992
1831,6.51813267,1.613418352,4.904714319,222734336,222687232,103.2142958,74676906.67,74663253.33,107216896,107214165.3,107214165.3,69,8,63.6879672,4988,2468,215264,92525.33333,436.5,0,29.70588731,29.70588731,1548.055894,0,5663.090686,5663.090686,45971.1774,64903850.67,14.26921594,8.007114935,6.262101005,520511488,474177536,0.13367822,303378432,301065557.3,324395008,310050816,310050816,82,8,968150.2551,1320,476,273248,61584,5929.166667,408.4016159,51.47161461,459.8732304,281.3146834,1020786.539,1432086.528,2452873.067,2338.935536,289985877.3
2378,9.052184395,2.440828614,6.611355782,223539200,223473664,129.2639563,75872938.67,75851093.33,108664832,108660736,108660736,69,8,123.8063336,4988,2468,218080,99384,441.1666667,0,39.40598053,39.40598053,2102.005927,0,7538.049982,7538.049982,62788.45259,66090325.33,18.36058979,11.66745238,6.693137409,520511488,474002773.3,0.116865261,303378432,301069653.3,324395008,310046720,310046720,81.83333333,8,968210.2533,1320,476,273360,61888,5929.666667,556.1139544,62.67426924,618.7882236,383.8892192,1236180.457,1673807.565,2909988.021,3216.206279,289989973.3
1977,8.633752255,2.265075129,6.368677125,229573290.7,229524821.3,114.4988678,76648448,76631381.33,109729792,109725696,109725696,69,8,183.4372121,4988,2468,217621.3333,96082.66667,444.5,0,33.57304986,33.57304986,1767.920957,0,6304.226487,6304.226487,52486.38396,66870613.33,13.79418976,8.447747953,5.346441808,520511488,474177536,0.066770038,303378432,301072384,324395008,310050816,310050816,82,8,968269.8113,1320,476,273434.6667,62157.33333,5928.333333,449.4650596,51.29932,500.7643796,303.4471898,992866.6077,1402802.778,2395669.386,2565.276008,289992704
2380,8.860851284,2.539630793,6.32122049,241655125.3,241628501.3,125.8353285,77746858.67,77727061.33,111312896,111308800,111308800,69,8,243.228278,4988,2468,220450.6667,103545.3333,450.3333333,0,38.81911633,38.81911633,2037.847089,0,7404.551362,7404.551362,60733.38077,67964928,17.68747308,10.88840341,6.799069668,520511488,474177536,4.430961515,303378432,301083306.7,324395008,310050816,310050816,82,8,968330.0398,1320,476,273584,62624,5931,543.1434795,59.9180273,603.0615067,378.8155143,1218342.602,1648679.101,2867021.702,3109.320875,290003626.7
1767,6.845680308,1.84440549,5.001274819,182478848,180119552,271.7699664,53465088,53224106.67,74145792,74036565.33,74036565.33,57.66666667,8,103.7364417,4411.333333,2468,186566.6667,72826.66667,339.5,0.718965878,24.94594045,25.66490633,1340.676942,2558.197637,4755.142273,7313.339909,39723.80478,44443648,14.19606259,7.91579339,6.280269201,520511488,457400320,11.13339986,303378432,299881130.7,324395008,305485141.3,305485141.3,66,8,968389.9394,1320,476,271194.6667,51437.33333,5892.166667,415.7247757,218.3862005,634.1109763,310.833169,999782.1475,1468417.405,2468199.552,3811.91316,288801450.7
1894,7.243115685,1.639328727,5.603786958,306794496,306769920,339.6804425,110318933.3,110308010.7,164749994.7,164747946.7,164747946.7,69,8,63.6420109,4152,2468,252576,141618.6667,582.8333333,0,31.21288997,31.21288997,1668.525243,0,5841.32005,5841.32005,49525.38544,100555434.7,13.37465174,8.146641842,5.228009896,520511488,485187584,9.985623653,303378432,301684053.3,324395008,312896170.7,312896170.7,92.5,8,968449.634,1320,476,277616,77605.33333,6009.166667,455.1044921,52.43410345,507.5385955,302.726349,1132295.738,1427076.918,2559372.656,2576.032665,290604373.3
1868,5.960252604,1.348925696,4.611326906,252320426.7,252287658.7,85.89402947,86476117.33,86466560,126670848,126668117.3,126668117.3,69,8,41.45115342,4551.333333,2468,230261.3333,118680,503.1666667,0,21.19094871,21.19094871,1126.929094,0,4030.034354,4030.034354,33680.3331,76717397.33,14.89552917,9.166947585,5.728581584,520511488,479420416,15.2974614,303378432,301225301.3,324395008,311390208,311390208,87,8,968509.8296,1320,476,274928,67944,6036.666667,441.2672313,316.5253213,757.7925527,328.2314823,1240755.733,1647041.707,2887797.441,4684.979308,290145621.3
1691,7.500193052,1.874998072,5.625194979,261857962.7,261834069.3,170.9111155,89289386.67,89275733.33,131386709.3,131383978.7,131383978.7,69,8,56.8044196,4904,2468,235552,116469.3333,506,0,27.08305671,27.08305671,1399.423751,0,5055.134088,5055.134088,41318.91135,79519744,11.29411927,7.123783312,4.170335959,520511488,479070890.7,1.300484247,303378432,301350229.3,324395008,311386112,311386112,86.66666667,8,968569.7344,1320,476,275674.6667,71101.33333,6076.333333,388.7098989,44.10596566,432.8158645,251.4262915,971456.0898,1226165.119,2197621.209,2148.613413,290270549.3
2134,9.838764595,2.726291703,7.112472893,280252416,280227840,119.9358329,96873130.67,96858794.67,143525205.3,143521109.3,143521109.3,69,8,116.3331283,4904,2468,245408,129856,530.8333333,0,36.33011981,36.33011981,1922.907363,0,6891.884955,6891.884955,57374.2084,87102122.67,17.09641709,9.995212422,7.101204667,520511488,480468992,0.116785801,303378432,301474474.7,324395008,311762944,311762944,88,8,968629.4266,1320,476,276720,73858.66667,6085,532.1638476,63.8079464,595.971794,347.1590626,1340632.278,1719377.007,3060009.285,2987.362942,290394794.7
